"Status","Name","Duration in ms","Description"
"passed","Testcases.loginPageTest.test_publciLoginPage.TestPublicLoginPage#test_login","1208"," --------------------测试登陆时不同场景-------------------- "
"passed","Testcases.loginPageTest.test_publciLoginPage.TestPublicLoginPage#test_login","1456"," --------------------测试登陆时不同场景-------------------- "
"failed","Testcases.loginPageTest.test_publciLoginPage.TestPublicLoginPage#test_login","1316"," --------------------测试登陆时不同场景-------------------- "
"passed","Testcases.loginPageTest.test_publciLoginPage.TestPublicLoginPage#test_login","1220"," --------------------测试登陆时不同场景-------------------- "
"passed","Testcases.loginPageTest.test_publciLoginPage.TestPublicLoginPage#test_login","874"," --------------------测试登陆时不同场景-------------------- "
